timestamp,aqi,temperature,pressure,humidity,wind_speed
2024-12-13 14:00:00+00:00,128,13,1019,43,3.92
2024-12-13 14:00:00+00:00,128,13,1019,43,3.92
2024-12-13 18:00:00+00:00,169,12,1020,48,2.62
2024-12-13 19:00:00+00:00,177,9,1020,60,2.7
2024-12-13 19:00:00+00:00,177,9,1020,60,2.7
2024-12-13 19:00:00+00:00,177,9,1020,60,2.7
2024-12-13 19:00:00+00:00,177,9,1020,60,2.7
2024-12-13 19:00:00+00:00,177,9,1020,60,2.7
2024-12-13 20:00:00+00:00,159,8,1020,64,2.71
2024-12-13 21:00:00+00:00,152,8,1020,66,2.8
2024-12-14 11:00:00+00:00,223,13,1017,18,2.54
2024-12-14 12:00:00+00:00,228,13,1017,18,2.54
2024-12-14 12:00:00+00:00,228,13,1017,18,2.54
2024-12-14 12:00:00+00:00,228,13,1017,18,2.54
2024-12-14 12:00:00+00:00,228,13,1017,18,2.54
2024-12-14 12:00:00+00:00,232,13,1017,18,2.54
2024-12-14 13:00:00+00:00,225,14,1018,39,2.35
2024-12-14 14:00:00+00:00,207,13,1019,43,2.13
2024-12-14 15:00:00+00:00,181,10,1019,51,2.05
2024-12-14 16:00:00+00:00,183,10,1020,53,1.83
2024-12-14 17:00:00+00:00,182,9,1020,62,1.71
2024-12-14 18:00:00+00:00,177,9,1020,60,1.49
2024-12-14 19:00:00+00:00,161,9,1019,66,1.49
2024-12-14 20:00:00+00:00,158,8,1018,69,1.52
2024-12-14 21:00:00+00:00,153,11,1018,19,1.53
2024-12-14 22:00:00+00:00,153,10,1018,19,1.69
2024-12-14 23:00:00+00:00,142,10,1018,20,1.74
2024-12-15 00:00:00+00:00,139,10,1018,21,1.71
2024-12-15 01:00:00+00:00,142,6,1018,69,1.87
2024-12-15 02:00:00+00:00,155,7,1019,65,1.62
2024-12-15 03:00:00+00:00,160,11,1019,22,1.5
2024-12-15 04:00:00+00:00,160,13,1020,19,1.06
2024-12-15 05:00:00+00:00,171,15,1020,17,0.87
2024-12-15 06:00:00+00:00,193,14,1020,45,0.72
2024-12-15 07:00:00+00:00,181,16,1019,45,1.22
2024-12-15 08:00:00+00:00,186,16,1018,42,1.14
2024-12-15 12:00:00+00:00,229,15,1018,47,1.16
